id	pole_id	standatcode	corrected_standatcode	abundance	form
1	903-392	2310050030090	2310050030090	0.1	0
20	906-391	2320650030210	2320650030210	0.1	0
21	908-390	2320650030210	2320650030210	0.1	0
22	909-390	2320650030210	2320650030210	0.1	0
23	931-385	2320650030210	2320650030210	0.1	0
30	903-397	2320650030240	2320650030240	0.1	0
31	905-391	2320650030240	2320650030240	0.1	0
32	927-390	2320650030240	2320650030240	0.1	0
60	907-393	2320650030300	2320650030300	0.1	0
61	907-395	2320650030300	2320650030300	0.1	0
62	909-391	2320650030300	2320650030300	0.1	0
63	920-390	2320650030300	2320650030300	0.1	0
64	921-389	2320650030300	2320650030300	0.1	0
65	925-386	2320650030300	2320650030300	0.1	0
66	925-396	2320650030300	2320650030300	0.1	0
310	902-388	2333050030030	2333050030030	0.1	0
311	902-391	2333050030030	2333050030030	0.1	0
312	902-393	2333050030030	2333050030030	0.1	0
313	903-388	2333050030030	2333050030030	0.1	0
314	903-389	2333050030030	2333050030030	0.1	0
315	903-392	2333050030030	2333050030030	0.1	0
316	903-395	2333050030030	2333050030030	0.1	0
317	903-396	2333050030030	2333050030030	0.1	0
318	904-386	2333050030030	2333050030030	0.1	0
319	904-387	2333050030030	2333050030030	0.1	0
320	904-391	2333050030030	2333050030030	0.1	0
321	904-392	2333050030030	2333050030030	0.1	0
322	904-393	2333050030030	2333050030030	0.1	0
323	904-396	2333050030030	2333050030030	0.1	0
324	904-397	2333050030030	2333050030030	0.1	0
325	905-386	2333050030030	2333050030030	0.1	0
326	905-387	2333050030030	2333050030030	0.1	0
327	905-390	2333050030030	2333050030030	0.1	0
328	905-391	2333050030030	2333050030030	0.1	0
329	905-397	2333050030030	2333050030030	0.1	0
330	906-386	2333050030030	2333050030030	0.1	0
331	906-387	2333050030030	2333050030030	0.1	0
332	906-388	2333050030030	2333050030030	0.1	0
333	906-389	2333050030030	2333050030030	0.1	0
334	906-390	2333050030030	2333050030030	0.1	0
335	906-391	2333050030030	2333050030030	0.1	0
336	906-395	2333050030030	2333050030030	0.1	0
337	906-397	2333050030030	2333050030030	0.1	0
338	906-398	2333050030030	2333050030030	0.1	0
339	907-387	2333050030030	2333050030030	0.1	0
340	907-389	2333050030030	2333050030030	0.1	0
341	907-397	2333050030030	2333050030030	0.1	0
342	908-396	2333050030030	2333050030030	0.1	0
343	908-397	2333050030030	2333050030030	0.1	0
344	908-399	2333050030030	2333050030030	0.1	0
345	909-388	2333050030030	2333050030030	0.1	0
346	909-390	2333050030030	2333050030030	0.1	0
347	909-391	2333050030030	2333050030030	0.1	0
348	909-392	2333050030030	2333050030030	0.1	0
349	909-395	2333050030030	2333050030030	0.1	0
350	909-398	2333050030030	2333050030030	0.1	0
351	910-389	2333050030030	2333050030030	0.1	0
352	910-391	2333050030030	2333050030030	0.1	0
353	910-392	2333050030030	2333050030030	0.1	0
354	910-397	2333050030030	2333050030030	0.1	0
355	911-391	2333050030030	2333050030030	0.1	0
356	911-396	2333050030030	2333050030030	0.1	0
357	911-396	2333050030030	2333050030030	0.1	0
358	912-395	2333050030030	2333050030030	0.1	0
359	913-389	2333050030030	2333050030030	0.1	0
360	913-390	2333050030030	2333050030030	0.1	0
361	913-392	2333050030030	2333050030030	0.1	0
362	913-394	2333050030030	2333050030030	0.1	0
363	913-395	2333050030030	2333050030030	0.1	0
364	914-394	2333050030030	2333050030030	0.1	0
365	914-396	2333050030030	2333050030030	0.1	0
366	914-396	2333050030030	2333050030030	0.1	0
367	923-387	2333050030030	2333050030030	0.1	0
368	923-388	2333050030030	2333050030030	0.1	0
369	925-385	2333050030030	2333050030030	0.1	0
370	925-387	2333050030030	2333050030030	0.1	0
371	925-394	2333050030030	2333050030030	0.1	0
372	926-388	2333050030030	2333050030030	0.1	0
373	927-396	2333050030030	2333050030030	0.1	0
374	928-384	2333050030030	2333050030030	0.1	0
375	928-388	2333050030030	2333050030030	0.1	0
376	928-392	2333050030030	2333050030030	0.1	0
377	929-387	2333050030030	2333050030030	0.1	0
378	929-393	2333050030030	2333050030030	0.1	0
379	930-385	2333050030030	2333050030030	0.1	0
380	930-390	2333050030030	2333050030030	0.1	0
381	931-391	2333050030030	2333050030030	0.1	0
382	932-386	2333050030030	2333050030030	0.1	0
383	932-393	2333050030030	2333050030030	0.1	0
555	924-392	2333150060000	2333150060000	0.1	0
865	901-390	2333150060060	2333150060060	0.1	0
866	902-391	2333150060060	2333150060060	0.1	0
867	902-393	2333150060060	2333150060060	0.1	0
868	902-395	2333150060060	2333150060060	0.1	0
