id	pole_id	standatcode	corrected_standatcode	abundance	form
8	921-397	2320650030150	2320650030150	8	0
9	925-387	2320650030150	2320650030150	0.1	0
11	905-395	2320650030210	2320650030210	7	0
12	906-391	2320650030210	2320650030210	11	0
13	908-390	2320650030210	2320650030210	1	0
14	912-387	2320650030210	2320650030210	0.1	0
15	920-390	2320650030210	2320650030210	0.1	0
33	903-397	2320650030300	2320650030300	0.1	0
34	905-391	2320650030300	2320650030300	0.1	0
35	907-393	2320650030300	2320650030300	1	0
36	907-395	2320650030300	2320650030300	0.1	0
37	920-388	2320650030300	2320650030300	3	0
38	920-389	2320650030300	2320650030300	0.1	0
39	920-390	2320650030300	2320650030300	0.1	0
40	921-389	2320650030300	2320650030300	0.1	0
41	921-397	2320650030300	2320650030300	16	0
42	925-386	2320650030300	2320650030300	0.1	0
43	925-387	2320650030300	2320650030300	8	0
44	925-392	2320650030300	2320650030300	0.1	0
45	925-396	2320650030300	2320650030300	1	0
46	927-390	2320650030300	2320650030300	1	0
47	928-398	2320650030300	2320650030300	0.1	0
48	929-402	2320650030300	2320650030300	0.1	0
49	931-385	2320650030300	2320650030300	0.1	0
50	931-388	2320650030300	2320650030300	0.1	0
51	931-390	2320650030300	2320650030300	8	0
85	902-388	2333050030030	2333050030030	0.1	0
86	902-389	2333050030030	2333050030030	0.1	0
87	902-391	2333050030030	2333050030030	0.1	0
88	902-392	2333050030030	2333050030030	0.1	0
89	902-394	2333050030030	2333050030030	0.1	0
90	902-395	2333050030030	2333050030030	0.1	0
91	903-388	2333050030030	2333050030030	1	0
92	903-389	2333050030030	2333050030030	6	0
93	903-392	2333050030030	2333050030030	1	0
94	903-395	2333050030030	2333050030030	0.1	0
95	904-385	2333050030030	2333050030030	0.1	0
96	904-388	2333050030030	2333050030030	1	0
97	904-391	2333050030030	2333050030030	0.1	0
98	904-392	2333050030030	2333050030030	0.1	0
99	904-394	2333050030030	2333050030030	0.1	0
100	904-395	2333050030030	2333050030030	3	0
101	904-396	2333050030030	2333050030030	0.1	0
102	904-397	2333050030030	2333050030030	0.1	0
103	905-386	2333050030030	2333050030030	0.1	0
104	905-387	2333050030030	2333050030030	2	0
105	905-388	2333050030030	2333050030030	1	0
106	905-389	2333050030030	2333050030030	2	0
107	905-390	2333050030030	2333050030030	0.1	0
108	905-391	2333050030030	2333050030030	0.1	0
109	905-393	2333050030030	2333050030030	1	0
110	905-394	2333050030030	2333050030030	0.1	0
111	905-395	2333050030030	2333050030030	8	0
112	905-397	2333050030030	2333050030030	0.1	0
113	906-387	2333050030030	2333050030030	0.1	0
114	906-389	2333050030030	2333050030030	2	0
115	906-390	2333050030030	2333050030030	4	0
116	906-391	2333050030030	2333050030030	0.1	0
117	906-393	2333050030030	2333050030030	0.1	0
118	906-395	2333050030030	2333050030030	1	0
119	906-398	2333050030030	2333050030030	4	0
120	906-399	2333050030030	2333050030030	1	0
121	907-387	2333050030030	2333050030030	0.1	0
122	907-389	2333050030030	2333050030030	1	0
123	907-390	2333050030030	2333050030030	0.1	0
124	907-391	2333050030030	2333050030030	0.1	0
125	907-392	2333050030030	2333050030030	0.1	0
126	907-393	2333050030030	2333050030030	0.1	0
127	907-397	2333050030030	2333050030030	1	0
128	908-390	2333050030030	2333050030030	0.1	0
129	908-392	2333050030030	2333050030030	1	0
130	908-393	2333050030030	2333050030030	0.1	0
131	908-394	2333050030030	2333050030030	0.1	0
132	908-396	2333050030030	2333050030030	7	0
133	908-397	2333050030030	2333050030030	0.1	0
134	908-398	2333050030030	2333050030030	1	0
135	909-386	2333050030030	2333050030030	0.1	0
136	909-387	2333050030030	2333050030030	0.1	0
137	909-389	2333050030030	2333050030030	0.1	0
138	909-390	2333050030030	2333050030030	0.1	0
139	909-391	2333050030030	2333050030030	0.1	0
140	909-392	2333050030030	2333050030030	0.1	0
141	909-394	2333050030030	2333050030030	0.1	0
142	909-395	2333050030030	2333050030030	1	0
143	909-397	2333050030030	2333050030030	0.1	0
144	909-398	2333050030030	2333050030030	0.1	0
145	906-388	2333050030030	2333050030030	2	0
146	910-388	2333050030030	2333050030030	0.1	0
147	910-390	2333050030030	2333050030030	0.1	0
148	910-391	2333050030030	2333050030030	2	0
149	910-392	2333050030030	2333050030030	0.1	0
150	910-393	2333050030030	2333050030030	0.1	0
151	910-394	2333050030030	2333050030030	1	0
152	910-397	2333050030030	2333050030030	0.1	0
153	910-398	2333050030030	2333050030030	0.1	0
154	911-387	2333050030030	2333050030030	0.1	0
155	911-389	2333050030030	2333050030030	5	0
156	911-390	2333050030030	2333050030030	4	0
157	911-391	2333050030030	2333050030030	0.1	0
158	911-394	2333050030030	2333050030030	0.1	0
159	911-395	2333050030030	2333050030030	0.1	0
160	911-396	2333050030030	2333050030030	0.1	0
161	911-397	2333050030030	2333050030030	2	0
162	912-388	2333050030030	2333050030030	0.1	0
163	912-389	2333050030030	2333050030030	0.1	0
164	912-391	2333050030030	2333050030030	0.1	0
165	912-392	2333050030030	2333050030030	2	0
166	912-394	2333050030030	2333050030030	0.1	0
167	913-392	2333050030030	2333050030030	0.1	0
168	913-394	2333050030030	2333050030030	0.1	0
169	913-395	2333050030030	2333050030030	7	0
170	914-394	2333050030030	2333050030030	0.1	0
171	914-396	2333050030030	2333050030030	3	0
172	916-396	2333050030030	2333050030030	0.1	0
173	920-390	2333050030030	2333050030030	0.1	0
174	921-390	2333050030030	2333050030030	0.1	0
175	921-391	2333050030030	2333050030030	0.1	0
176	921-392	2333050030030	2333050030030	0.1	0
177	921-398	2333050030030	2333050030030	0.1	0
178	922-389	2333050030030	2333050030030	0.1	0
179	922-390	2333050030030	2333050030030	0.1	0
180	922-391	2333050030030	2333050030030	0.1	0
181	922-394	2333050030030	2333050030030	1	0
182	922-397	2333050030030	2333050030030	1	0
183	924-386	2333050030030	2333050030030	0.1	0
184	924-387	2333050030030	2333050030030	0.1	0
185	924-388	2333050030030	2333050030030	0.1	0
186	924-389	2333050030030	2333050030030	3	0
187	924-390	2333050030030	2333050030030	0.1	0
188	924-397	2333050030030	2333050030030	0.1	0
189	924-398	2333050030030	2333050030030	0.1	0
190	925-387	2333050030030	2333050030030	8	0
191	925-392	2333050030030	2333050030030	0.1	0
192	925-395	2333050030030	2333050030030	0.1	0
193	925-396	2333050030030	2333050030030	4	0
194	925-398	2333050030030	2333050030030	1	0
195	926-385	2333050030030	2333050030030	0.1	0
196	926-386	2333050030030	2333050030030	1	0
197	926-388	2333050030030	2333050030030	0.1	0
198	926-393	2333050030030	2333050030030	0.1	0
199	926-395	2333050030030	2333050030030	0.1	0
200	926-397	2333050030030	2333050030030	0.1	0
201	927-387	2333050030030	2333050030030	1	0
202	927-393	2333050030030	2333050030030	0.1	0
203	927-394	2333050030030	2333050030030	8	0
204	927-398	2333050030030	2333050030030	1	0
205	928-384	2333050030030	2333050030030	0.1	0
206	928-386	2333050030030	2333050030030	0.1	0
207	928-390	2333050030030	2333050030030	2	0
208	928-392	2333050030030	2333050030030	1	0
209	928-398	2333050030030	2333050030030	0.1	0
210	929-384	2333050030030	2333050030030	0.1	0
211	929-386	2333050030030	2333050030030	1	0
212	929-387	2333050030030	2333050030030	0.1	0
213	929-388	2333050030030	2333050030030	0.1	0
214	929-389	2333050030030	2333050030030	10	0
215	929-393	2333050030030	2333050030030	1	0
216	930-385	2333050030030	2333050030030	0.1	0
217	930-389	2333050030030	2333050030030	0.1	0
218	930-390	2333050030030	2333050030030	11	0
219	930-392	2333050030030	2333050030030	0.1	0
220	931-385	2333050030030	2333050030030	0.1	0
221	931-386	2333050030030	2333050030030	0.1	0
222	931-389	2333050030030	2333050030030	0.1	0
223	931-390	2333050030030	2333050030030	1	0
224	931-391	2333050030030	2333050030030	0.1	0
225	931-393	2333050030030	2333050030030	0.1	0
226	932-385	2333050030030	2333050030030	0.1	0
227	932-386	2333050030030	2333050030030	5	0
228	932-387	2333050030030	2333050030030	0.1	0
229	932-390	2333050030030	2333050030030	0.1	0
230	933-385	2333050030030	2333050030030	4	0
231	933-389	2333050030030	2333050030030	0.1	0
232	933-393	2333050030030	2333050030030	2	0
601	901-389	2333150060060	2333150060060	0.1	0
602	901-391	2333150060060	2333150060060	0.1	0
603	901-394	2333150060060	2333150060060	0.1	0
604	902-391	2333150060060	2333150060060	0.1	0
605	902-392	2333150060060	2333150060060	0.1	0
606	902-393	2333150060060	2333150060060	0.1	0
607	902-394	2333150060060	2333150060060	1	0
