id	pole_id	standatcode	corrected_standatcode	abundance	form
16	909-391	2320650030210	2320650030210	0.1	0
17	905-395	2320650030210	2320650030210	1	0
18	906-391	2320650030210	2320650030210	2	0
19	908-390	2320650030210	2320650030210	9	0
29	920-389	2320650030240	2320650030240	0.1	0
52	907-393	2320650030300	2320650030300	0.1	0
53	907-395	2320650030300	2320650030300	0.1	0
54	921-397	2320650030300	2320650030300	0.1	0
55	925-396	2320650030300	2320650030300	0.1	0
56	927-390	2320650030300	2320650030300	0.1	0
57	928-399	2320650030300	2320650030300	0.1	0
58	931-385	2320650030300	2320650030300	0.1	0
59	925-386	2320650030300	2320650030300	1	0
233	902-388	2333050030030	2333050030030	0.1	0
234	903-388	2333050030030	2333050030030	0.1	0
235	904-386	2333050030030	2333050030030	0.1	0
236	904-387	2333050030030	2333050030030	0.1	0
237	904-391	2333050030030	2333050030030	0.1	0
238	904-393	2333050030030	2333050030030	0.1	0
239	904-396	2333050030030	2333050030030	0.1	0
240	904-397	2333050030030	2333050030030	0.1	0
241	905-386	2333050030030	2333050030030	0.1	0
242	905-387	2333050030030	2333050030030	0.1	0
243	905-391	2333050030030	2333050030030	0.1	0
244	905-392	2333050030030	2333050030030	0.1	0
245	905-394	2333050030030	2333050030030	0.1	0
246	905-395	2333050030030	2333050030030	0.1	0
247	905-397	2333050030030	2333050030030	0.1	0
248	906-386	2333050030030	2333050030030	0.1	0
249	906-387	2333050030030	2333050030030	0.1	0
250	906-389	2333050030030	2333050030030	0.1	0
251	906-391	2333050030030	2333050030030	0.1	0
252	906-392	2333050030030	2333050030030	0.1	0
253	906-395	2333050030030	2333050030030	0.1	0
254	907-387	2333050030030	2333050030030	0.1	0
255	907-390	2333050030030	2333050030030	0.1	0
256	907-393	2333050030030	2333050030030	0.1	0
257	908-394	2333050030030	2333050030030	0.1	0
258	908-396	2333050030030	2333050030030	0.1	0
259	908-397	2333050030030	2333050030030	0.1	0
260	908-399	2333050030030	2333050030030	0.1	0
261	909-392	2333050030030	2333050030030	0.1	0
262	909-397	2333050030030	2333050030030	0.1	0
263	909-399	2333050030030	2333050030030	0.1	0
264	910-388	2333050030030	2333050030030	0.1	0
265	910-393	2333050030030	2333050030030	0.1	0
266	910-397	2333050030030	2333050030030	0.1	0
267	911-390	2333050030030	2333050030030	0.1	0
268	911-391	2333050030030	2333050030030	0.1	0
269	911-394	2333050030030	2333050030030	0.1	0
270	911-396	2333050030030	2333050030030	0.1	0
271	912-388	2333050030030	2333050030030	0.1	0
272	912-391	2333050030030	2333050030030	0.1	0
273	912-394	2333050030030	2333050030030	0.1	0
274	912-396	2333050030030	2333050030030	0.1	0
275	913-391	2333050030030	2333050030030	0.1	0
276	913-394	2333050030030	2333050030030	0.1	0
277	913-395	2333050030030	2333050030030	0.1	0
278	915-395	2333050030030	2333050030030	0.1	0
279	922-391	2333050030030	2333050030030	0.1	0
280	922-397	2333050030030	2333050030030	0.1	0
281	923-388	2333050030030	2333050030030	0.1	0
282	925-387	2333050030030	2333050030030	0.1	0
283	925-394	2333050030030	2333050030030	0.1	0
284	926-393	2333050030030	2333050030030	0.1	0
285	927-388	2333050030030	2333050030030	0.1	0
286	927-397	2333050030030	2333050030030	0.1	0
287	928-384	2333050030030	2333050030030	0.1	0
288	928-399	2333050030030	2333050030030	0.1	0
289	929-393	2333050030030	2333050030030	0.1	0
290	929-401	2333050030030	2333050030030	0.1	0
291	930-385	2333050030030	2333050030030	0.1	0
292	931-388	2333050030030	2333050030030	0.1	0
293	931-389	2333050030030	2333050030030	0.1	0
294	931-391	2333050030030	2333050030030	0.1	0
295	932-386	2333050030030	2333050030030	0.1	0
296	932-388	2333050030030	2333050030030	0.1	0
297	932-390	2333050030030	2333050030030	0.1	0
298	933-386	2333050030030	2333050030030	0.1	0
299	904-392	2333050030030	2333050030030	1	0
300	906-388	2333050030030	2333050030030	1	0
301	909-395	2333050030030	2333050030030	1	0
302	910-390	2333050030030	2333050030030	1	0
303	911-389	2333050030030	2333050030030	1	0
304	925-396	2333050030030	2333050030030	1	0
305	928-390	2333050030030	2333050030030	1	0
306	902-391	2333050030030	2333050030030	2	0
307	904-388	2333050030030	2333050030030	2	0
308	907-389	2333050030030	2333050030030	2	0
309	910-391	2333050030030	2333050030030	2	0
540	904-388	2333150060000	2333150060000	0.1	0
541	905-388	2333150060000	2333150060000	0.1	0
